"N°Asso.","Association (handicap)","Nature ","Montant",
769,"Montpellier Badminton Club","M",970 €,
3568,"Montpellier Basket Mosson","F",14 700 €,
2140,"Montpellier Chamberte Handball","F",1 000 €,
2260,"Montpellier Club Handisport","F",20 000 €,
3808,"Montpellier Culture Sport Adapté","F",4 000 €,
3808,"Montpellier Culture Sport Adapté","M",2 000 €,
4556,"Montpellier Eaux Vives Canoë-Kayak","F",6 000 €,
128,"Montpellier Handball","F",66 500 €,
1104,"Montpellier Hérault Sport Club","F",14 200 €,
3833,"Montpellier Languedoc Cyclisme","F",5 000 €,
4176,"Montpellier Natation Synchronisée","F",6 000 €,
4856,"Montpellier Omni Boxe","F",4 000 €,
4856,"Montpellier Omni Boxe","M",1 500 €,
788,"Montpellier Paillade Natation","F",3 000 €,
984,"Montpellier Pétanque St Martin","F",3 700 €,
1225,"Montpellier Petit Bard Futsal","F",6 000 €,
3933,"Montpellier Roller Hockey Club","F",11 000 €,
1850,"Montpellier Rugby Club","F",48 500 €,
1828,"Montpellier Tandem Club Handisport","F",500 €,
1541,"Montpellier Tennis de Table","F",30 000 €,
5002,"Mosson Full Contact","F",4 000 €,
845,"MUC Aviron Université Club","F",3 000 €,
1417,"MUC Baseball Softball Les Barracudas du Lez","F",5 000 €,
864,"MUC Canoé Kayak","F",2 900 €,
919,"MUC Escrime","F",21 380 €,
926,"MUC Omnisports","F",88 000 €,
794,"Occitanie Pétanque","F",1 500 €,
1458,"Olympique du Petit Bard Futsal","F",2 500 €,
4912,"Olympique Gely Montpellier","M",970 €,
2722,"Pétanque Club Montpellier Celleneuve","F",2 300 €,
2608,"Racing-Club Lemasson Montpellier","F",9 000 €,
2608,"Racing-Club Lemasson Montpellier","M",2 300 €,
2320,"Rimbaud Pétanque","F",2 000 €,
4489,"Ring Athlétique du Petit Bard","F",2 500 €,
2354,"Rugby League Montpellier XIII","F",25 000 €,
931,"Saint-Martin Gazelec Montpellier","F",9 000 €,
931,"Saint-Martin Gazelec Montpellier","M",9 000 €,
5443,"SASP Montpellier Hérault Sport Club","F",100 000 €,
971,"Société Bouliste Clapas Pétanque","F",450 €,
979,"Société Bouliste Montpelliéraine","F",450 €,
979,"Société Bouliste Montpelliéraine","M",500 €,
897,"Société de Tir de Montpellier","F",2 000 €,
4291,"Sport Insertion Jeunes","F",1 160 €,
1584,"Sport Quilles Montpellier","F",970 €,
2502,"Sport Tambourin Club de Montpellier","F",1 000 €,
1420,"Stade Lunaret Nord Montpellier","M",1 000 €,
1420,"Stade Lunaret Nord Montpellier","F",8 000 €,
1192,"Tennis Club de la Paillade","M",1 940 €,
1192,"Tennis Club de la Paillade","F",28 000 €,
1855,"Tennis Club Montpellier","F",1 450 €,
3534,"Union Montpelliéraine pour le Développement","F",3 000 €,
,,"Total",1 418 450 €,
"N°Asso.","Association (partenariat sportif)","Nature ","Montant",
2831,"Aéroclub de l'Hérault Languedoc Roussillon","M",3 000 €,
1766,"Body Fighting Club  ","M",1 500 €,
347,"Montpellier école d'Aïkido Traditionnel","M",2 000 €,
3823,"Takemusu Aikdo Montpellier","M",2 000 €,
3659,"Montpellier Agglomération Tae Kwon Do ","M",4 500 €,
1320,"Tai Chi Chuan Style Yang Originel  Montpellier","M",1 000 €,
3015,"Montpellier Viet vo dao","M",500 €,
2055,"Aïkido Club Montpellier","M",3 000 €,
1738,"Association Languedocienne de Kyudo","M",500 €,
5223,"Montpellier agglo Athlétic Méditerrannée","M",3 000 €,
769,"Montpellier Badminton Club","M",2 000 €,
1417,"MUC Baseball (les Barracudas)","M",1 000 €,
2139,"ASPTT Montpellier","M",2 000 €,
72,"Croix d'Argent Basket","M",2 500 €,
2583,"Basket Lattes Montpellier Agglomération","M",1 500 €,
3568,"Montpellier Basket Mosson","M",2 500 €,
3634,"Ecole de bowling","M",3 500 €,
4556,"Montpellier Eaux Vives Canoe Kayak","M",2 500 €,
864,"MUC Canoë Kayak","M",3 000 €,
1113,"Claquettes en vogue","M",1 500 €,
3845,"Centre des arts du cirque BALTHAZAR","M",3 000 €,
3833,"Montpellier Languedoc Cyclisme","M",3 000 €,
251,"Union Départ. Sportive Léo Lagrange","M",1 000 €,
25,"CLRISTALS Les Petits Débrouillards","M",3 000 €,
1395,"ConnaiSciences","M",2 000 €,
4807,"Association Tin Hinan","M",1 200 €,
406,"Echecs club Montpellier","M",2 500 €,
3081,"Bleu Vertige","M",3 000 €,
2954,"Scalata Nature ","M",3 000 €,
919,"MUC Escrime","M",1 200 €,
1187,"Arceaux Montpellier","M",2 800 €,
931,"St Martin Gazelec","M",2 000 €,
928,"MUC Football","M",2 900 €,
2139,"ASPTT Montpellier","M",1 500 €,
4806,"ASC Paillade Mercure","M",2 900 €,
2608,"Racing Club Lemasson","M",2 000 €,
1420,"Stade Lunaret","M",3 000 €,
4701,"Montpellier Football Américain (les Hurricanes)","M",2 000 €,
5002,"Mosson Full Contact","M",3 000 €,
3367,"Association Génération Millénaire","M",1 900 €,
4012,"Montpellier Agglomération Futsal","M",2 900 €,
4291,"Sport insertion jeunes Montpellier","M",1 300 €,
1225,"Montpellier Petit Bard Futsal","M",1 900 €,
963,"CEP Montpellier gymnastique","M",2 200 €,
1891,"Montpellier GRS","M",3 000 €,
967,"MUC Hand Ball","M",2 500 €,
2140,"Montpellier Chamberte Handball","M",1 000 €,
2260,"Montpellier Club Handisport","M",2 000 €,
3914,"Montpellier Agglomération Hockey club","M",2 000 €,
1682,"JK Judo 34","M",2 000 €,
4547,"La Maison du Judo","M",2 000 €,
964,"MUC Lutte","M",2 000 €,
788,"Montpellier Paillade Natation","M",3 000 €,
2139,"ASPTT Montpellier","M",3 000 €,
1935,"Les Chevaliers de la Gaule","M",3 000 €,
2139,"ASPTT Montpellier","M",4 000 €,
3059,"Montpellier Agglomération Plongée Université Club","M",2 000 €,
4643,"Montpellier Funny Riders","M",3 000 €,
3762,"Ice & Roller School Montpellier","M",1 800 €,
4380,"Aqualove","M",2 500 €,
4265," Attitude","M",2 500 €,
3131,"MUC Skate Board","M",2 900 €,
3806," Ski nautique Club Montpellier Agglomération","M",2 500 €,
842,"Spéléo Club Alpin","M",1 500 €,
4720,"Agglomération Montpellier Sport Orientation 34","M",3 000 €,
2502,"Sport Tambourin Club Montpellier ","M",2 000 €,
2139,"ASPTT  ","M",2 000 €,
278,"Montpellier Arc Club","M",2 000 €,
1928,"Montpellier Agglomération Triathlon","M",2 000 €,
3040,"Union Sportive des Nageurs de Montpellier","M",2 000 €,
914,"ASLJ Montpellier Croix d'Argent Volley","M",3 000 €,
1230,"Association sportive des Beaux Arts ASBAM ","M",3 500 €,
1634,"Volley Loisir Montpelliérain","M",1 500 €,
,,"Total",167 400 €,
"N°Asso.","Association (culture)","Nature ","Montant",
231,"Théâtre en flammes","M/FACM",2 500 €,
1788,"Les nuits du chat","M/FACM",3 000 €,
2117,"Les p’tits loups du jazz","M/FACM",3 500 €,
2254,"Be Fast","M/FACM",2 000 €,
4520,"Le garage électrique","M/FACM",3 500 €,
4923,"Communications","M/FACM",2 500 €,
5361,"L’oreille électrique","M/FACM",3 000 €,
5461,"La faction","M/FACM",2 000 €,
5492,"Deep Music","M/FACM",3 000 €,
5593,"Water Babies","M/FACM",2 000 €,
4272,"La vista Théâtre de la Méditerranée","F",50 000 €,
4272,"La vista Théâtre de la Méditerranée","M",15 000 €,
4812,"Compagnie Adesso e sempre","F",12 000 €,
4812,"Compagnie Adesso e sempre","M",30 000 €,
2326,"Music Events","F",125 000 €,
3988,"Maison de la poésie","F","10 000 €",
3988,"Maison de la poésie","M",5 000 €,
1876,"Cœur de livres","F","49 000 €",
1876,"Cœur de livres","M","93 000 €",
1876,"Cœur de livres","M","20 000 €",
,,"Total",436 000 €,
"N°Asso.","Association (partenaires)","Nature ","Montant","Imputation budgétaire"
5456,"Promotion des flux touristiques et économiques","F",197 500 €,"6574/929"
,,,,"LC 13171"
474,"Association La Gerbe","I",50 000 €,"2042/900"
,,,,"LC 18938"
240,"CFDT Union Locale","F",4 850 €,"6574/920"
,,,,"LC 18891"
2797,"Fédération Syndicale Unitaire","F",2 900 €,"6574/920"
,,,,"LC 18891"
239,"FO Union Locale Syndicats","F",4 850 €,"6574/920"
,,,,"LC 18891"
248,"Association Force Ouvrière Consommateurs - AFOC","F",1 165 €,"6574/920"
,,,,"LC 18891"
1302,"Union Locale CFE-CGC de Montpellier","F",1 450 €,"6574/920"
,,,,"LC 18891"
232,"Union Locale CFTC de Montpellier et Environs","F",485 €,"6574/920"
,,,,"LC 18891"
237,"Union Locale CGT","F",4 850 €,"6574/920"
,,,,"LC 18891"
4914,"Union Syndicale solidaires 34","F",2 900 €,"6574/920"
,,,,"LC 18891"
1273,"Unité Police SNPT","F",870 €,"6574/920"
,,,,"LC 18891"
392,"UNSA Education 34 - FEN 34","F",2 900 €,"6574/920"
,,,,"LC 18891"
,,"Total",274 720 €,
