NomAsso,Tel_Asso,Fax_Asso,Mail_Asso,INTERNET,Domaine,Sous-Domaine,Sigle,Adresse,Code_Quartier,Code_Sous_Quartier,Circonscription,Canton,Code_Postal,Longitude,Latitude
Association de Médiation Pénale Montpelliéraine,04 67 29 86 20,04 67 92 42 85,ampm34@live.fr,,SOCIAL ET CITOYENNETE,DIVERS SOCIAL,AMPM,10  AVENUE DE LODEVE,07,25,2,07,34070,"3,86567159","43,60941366"
Association de Parents d'Elèves Enseignement Public,04 67 60 69 09,04 67 60 62 07,peep34@aliceadsl.fr,peep@peep.asso.fr,EDUCATION,PARENTS D'ELEVES,PEEP,291  RUE HEBERT,04,13,4,08,34070,"3,845502093","43,597741681"
Association de Patients atteints de Vitiligo,,,associationapav@ifrance.com,http://associationapav.ifrance.com,SANTE,AIDE AUX MALADES,APAV,59  ALLEE DU SAUVIGNON,03,07,2,10,34080,"3,849444489","43,620982194"
Association de Quartier Beaux-Arts Pierre Rouge,04 67 79 95 55,,assobeauxarts.mtp@gmail.com,,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,,12  ESPLANADE DE LA MUSIQUE,07,24,3,03,34000,"3,88191405","43,616488359"
Association de Quartier Drôle de Figue,04 99 61 19 81,04 67 58 57 67,thierry.arcaix@wanadoo.fr,http://www.drole-de-figue.com,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,,19  RUE SAINT ANTOINE,07,29,2,07,34070,"3,864937335","43,607239045"
Association de quartier Justice-Hirondelle,04 67 79 57 39,,ass.justice_hirondelle@yahoo.fr,,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,,6  RUE DE L'HIRONDELLE,01,03,3,03,34090,"3,887275523","43,625183047"
Association de Quartier les Grands Pins,04 67 27 98 39,,,,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,,292  RUE RAIMU,04,14,1,06,34070,"3,8609226","43,588956225"
Association de Quartier Puech Villa les Bastides,04 30 10 26 48,,assolesbastides@numericable.fr,http://bastides.euro.st,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,,39  RUE FRANCIS LOPEZ,01,02,2,10,34090,"3,838006214","43,63670474"
Association de Recherches de Consensus en Urologie,04 67 75 99 99,,,,SANTE,RECHERCHE,ARCOU,119  AVENUE DE LODEVE,03,08,4,08,34070,"3,850561244","43,610309313"
Association de Séjours Linguistiques Autour du Monde,04 67 58 35 11,04 67 58 32 74,info@aram-france.com,http://www.aram-france.com,LOISIRS,TOURISME,ARAM,297 A RUE DE LA TOUR BUFFEL,07,29,4,08,34070,"3,856179967","43,608782175"
Association de Solidarité avec les Travailleurs Migrants,04 67 06 80 30,04 67 06 80 31,astm-marceau@wanadoo.fr,,SOCIAL ET CITOYENNETE,INSERTION,ASTM,17  RUE MARCEAU,07,30,1,01,34000,"3,872571399","43,606833402"
Association d'Education et d'Information du Consommateur - FEN,04 67 64 59 70,,,,ENVIRONNEMENT ET CADRE DE VIE,CONSOMMATEURS,ADEIC,474  ALL HENRI II MONTMORENCY,07,28,3,03,34000,"3,888759237","43,610157859"
Association d'Education Populaire Cevenole,04 67 02 49 77,04 67 02 49 78,amitiecevenole@orange.fr,www.amitiecevenole.com,LOISIRS,VACANCES,,2  RUE ERNEST CASTAN,07,24,3,03,34090,"3,880544605","43,618530416"
Association d'Education Sportive Culturelle Artistique et Loisirs,04 67 13 69 26,,escal34@yahoo.fr,escal34.free.fr,SPORTS,ARTS MARTIAUX,ESCAL,188  AVENUE DE LODEVE,03,08,2,07,34070,"3,840273838","43,613599666"
Association Defi Sport Humanitaire International,04 67 07 31 23,,adshi.hotmail.com,http://www.adshi.org,INTERNATIONAL,SOLIDARITE INTERNATIONALE,ADSHI,353  RUE DE MOUREZE,03,09,2,10,34070,"3,831318982","43,607289183"
Association d'Entraide et de Reclassement Social,04 67 75 14 93,,aerschauliac.rauzy@wanadoo.fr,,SOCIAL ET CITOYENNETE,INSERTION,AERS,22  RUE JULES GUESDE,02,06,2,10,34080,"3,830915002","43,61145238"
Association d'Entraide Pupilles Aide Sociale à l'Enfance,04 67 52 32 60,,aepape34@aliceadsl.fr,,SOCIAL ET CITOYENNETE,SOLIDARITE,AEPAPE 34,15  RUE GEORGES,07,25,2,07,34000,"3,86186559","43,611178206"
Association Départementale Danse et Musique de l'Hérault,04 67 45 71 10,,contact@addm34.fr,www.addm34.fr,CULTURE,MUSIQUE,ADDM 34,148  AV PROFESSEUR JEAN-LOUIS VIALA,01,02,2,10,34090,"3,829406471","43,636681915"
Association Départementale de Protection Civile de l'Hérault,,,herault@protection-civile.org,http://www.adpc34@free.fr,SANTE,DIVERS SANTE,DPC 34,1 BIS BOULEVARD LOUIS BLANC,07,24,3,03,34000,"3,877449","43,614882358"
Association Départementale Médaille Famille Française,04 99 13 23 45,04 99 13 23 02,,,SOCIAL ET CITOYENNETE,VIE FAMILIALE,ADMFF,160  RUE DES FRERES LUMIERE,06,20,1,04,34000,"3,905766753","43,610792513"
Association des Alcooliques Anonymes,08 20 20 23 54,,alcooliques.anonymes-montpellier@laposte.net,http://www.alcooliques-anonymes.fr,SANTE,ALCOOLISME ET TOXICOMANIE,AA,39  RUE FRANCOIS D'ORBAY,02,06,2,10,34080,"3,825934409","43,61455231"
ASSOCIATION DES ALGERIENS DU LANGUEDOC-ROUSSILLON,,,contact@alrasso.fr,www.assoalr.fr,INTERNATIONAL,CULTURE ETRANGERE,ALR,37  RUE FAUBOURG DU COURREAU,07,30,1,01,34000,"3,870358289","43,608368143"
Association des Américains pour la Paix et la Justice,04 67 41 33 86,,apj@hotmail.com,http://www.americansforpeaceandjustice.org,INTERNATIONAL,SOLIDARITE INTERNATIONALE,APJ,55  COUR LIBERAL BRUANT,02,06,2,10,34080,"3,826461338","43,614014049"
Association des Amis de la Librairie Sauramps,04 67 06 78 52,04 67 06 78 51,f.moure@sauramps.fr,,CULTURE,LECTURE,,0  ALLEE JULES MILHAU,07,27,1,01,34000,"3,882438147","43,60897124"
Association des Amis du Musée Languedocien,04 67 60 26 73,,,,CULTURE,CULTURES REGIONALES,AAML,7  RUE JACQUES COEUR,07,27,1,01,34000,"3,879201636","43,609569008"
Association des Anciens Combattants,04 67 65 54 74,,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,AAC,1  RUE RONDELET,07,30,1,01,34000,"3,875166685","43,605108571"
Association des Anciens des Affaires Algériennes - les SAS,04 67 65 65 47,04 67 65 65 47,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,SAS,164  RUE EMILE GABORIAU,05,16,1,05,34070,"3,887493832","43,598454806"
Association des Anciens du Fouga Magister,04 67 69 17 45,,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,,2650  AVENUE ETIENNE MEHUL,,,,,,,
Association des Béninois de Montpellier,,,abemenangnon@yahoo.fr,fr.groups.yahoo.com/group/beninoisdemontpellier,INTERNATIONAL,CULTURE ETRANGERE,ABEM,91  PLACE ALPHONSE LAVERAN,01,02,2,10,34090,"3,845846348","43,632432585"
Association des Cadres Catalans,04 67 64 01 28,,,,CULTURE,CULTURES REGIONALES,,11  RUE DES ANEMONES,05,15,1,05,34000,"3,882885119","43,599711472"
"Association des Cévennes Insertion, Loisirs et Education - ACLE",04 67 63 05 13,,acle@associationacle.org,http://associationacle.org,SOCIAL ET CITOYENNETE,INSERTION,ACLE,949  AV PROFESSEUR LOUIS RAVAZ,03,07,2,07,34080,"3,845765757","43,62215011"
Association des Choeurs de Montpellier,04 67 66 36 81,,choeurs.montpellier@gmail.com,http://maisondeschoeurs.free.fr,CULTURE,MUSIQUE,ACM,0  PLACE ALBERT 1ER,,,,,,,
Association des Combattants de l'Union Française,04 67 58 42 53,,alexis.laurentasfr.fr,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,ACUF,16  RUE DE BERCY,07,30,1,01,34000,"3,873871416","43,602952435"
Association des Combattants PG Combattants Algérie-Tunisie-Maroc,04 67 66 11 47,,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,ACPGCATM,14  RUE SAINT DENIS,07,30,1,01,34000,"3,874653621","43,603822794"
Association des Congolais Démocratiques de Montpellier,04 67 47 45 54,,,,INTERNATIONAL,CULTURE ETRANGERE,ASCODEM,68  AV JUSTICE DE CASTELNAU,07,23,3,03,34090,"3,872170559","43,626950394"
Association des Conjoints Survivants,04 67 66 11 28,,,,SOCIAL ET CITOYENNETE,CONDITION FEMININE MASCULINE,,1  RUE EMBOUQUE D'OR,07,27,1,01,34000,"3,87860316","43,610561982"
Association des Déportés Internés et Familles de Disparus - HLT,04 67 79 32 60,,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,ADIF,7  RUE CAUZIT,07,27,1,01,34000,"3,877258036","43,609062141"
"Association des Déportés, Internés, Résistants et Patriotes",0467278486,,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,ADIRP,7  RUE CAUZIT,07,27,1,01,34000,"3,877258036","43,609062141"
Association des Diabétiques de l'Hérault,04 67 65 51 26,,assodiab.34@free.fr,,SANTE,AIDE AUX MALADES,AFD 34,11  RUE DE LA MEDITERRANEE,07,31,1,04,34070,"3,883323371","43,605428622"
Association des Donneurs de Voix,04 67 58 37 60,04 67 58 37 60,bs-montpellier.adv@wanadoo.fr,http://www.bibliotheques-sonores.org,SOCIAL ET CITOYENNETE,HANDICAP,,44  RUE ESTELLE,,,,,,,
Association des Etudiants de Kiné de Montpellier,04 99 23 23 00,04 99 23 23 01,epk.@imaginet.fr,,EDUCATION,ETUDIANTS,,2  AVENUE EMILE BERTIN-SANS,01,02,2,02,34090,"3,86474358","43,627878577"
Association des Etudiants de Polynésie Française,04 67 02 45 54,,aepfm2001@yahoo.fr,http://aepf34.free.fr,INTERNATIONAL,CULTURE ETRANGERE,AEPFM,190  RUE DU CAROUX,01,02,2,02,34090,"3,853921664","43,637497632"
Association des Etudiants Optoélectronique,04 67 14 37 16,04 67 54 71 34,secretariat@cem2.univ-montp2.fr,,EDUCATION,ETUDIANTS,ADEO,0  PLACE EUGENE BATAILLON,,,,,,,
Association des Etudiants viétnamiens à Montpellier,,,gabriel_heinze_04@yahoo.com,www.svmontpellier.free.fr,EDUCATION,DIVERS EDUCATION,AEVM,34  AV DU PROFESSEUR GRASSET,07,23,2,02,34090,"3,867298098","43,62458989"
Association des Etudiants viétnamiens à Montpellier,,,gabriel_heinze_04@yahoo.com,www.svmontpellier.free.fr,EDUCATION,DIVERS EDUCATION,AEVM,34  AV DU PROFESSEUR GRASSET,07,23,2,02,34090,"3,86736113","43,624455203"
Association des Familles de Traumatisés Crâniens LR,04 67 92 57 37,,aftcdulr@orange.fr,,SOCIAL ET CITOYENNETE,HANDICAP,AFTC,23  RUE LAKANAL,07,24,2,02,34090,"3,8781632","43,616739074"
Association des Familles Franco-Japonaises,04 67 52 75 50,04 67 66 18 55,,,INTERNATIONAL,CULTURE ETRANGERE,,32  RUE DE L'AIGUILLERIE,07,27,1,01,34000,"3,878725745","43,611407719"
Association des Galeries Montpelliéraines,04.67.66.05.08,04 67 60 52 03,PLACE-DES-ARTS@WANADOO.FR,,CULTURE,ART CONTEMPORAIN,,8  RUE DE L'ARGENTERIE,07,27,1,01,34000,"3,877691756","43,609268603"
Association des Gitans de la Paillade,04 67 45 47 07,,,,SOCIAL ET CITOYENNETE,INSERTION,AGPM,155  RUE DE BOLOGNE,02,05,2,09,34080,"3,817523522","43,62842652"
Association des Guides et Scouts d'Europe,04 67 64 37 15,,brunomartin34@aol.com,,EDUCATION,MOUVEMENT JEUNESSE,AGSE,651  AVENUE DU PONT TRINQUAT,05,16,1,05,34070,"3,891485623","43,597955501"
Association des Guinéens de Montpellier,,,guineens.de.montpellier@gmail.com,http://assoguimontp.jimdo.com/,INTERNATIONAL,CULTURE ETRANGERE,AGM,665  ROUTE DE MENDE,01,02,2,02,34090,"3,869365057","43,628376384"
Association des Marchés Paysans de l'Hérault,04 67 45 15 12,,marchespaysanslr@gmail.com,htt://marchepaysanlr.org,AGRICULTURE ET VITICULTURE,AGRICULTURE ET VITICULTURE,,51  RUE MICHEL-ANGE,03,08,2,07,34070,"3,84672415","43,615699339"
Association des Nouveaux Gais et Lesbiennes,,,assos@angel34.com,http://www.angel34.com,SOCIAL ET CITOYENNETE,CONDITION FEMININE MASCULINE,ANGEL,300  RUE AUGUSTE BROUSSONNET,07,23,2,02,34090,"3,870580564","43,616463538"
Association des Officiers de Réserve de Montpellier,,04 67 16 50 04,cathala.r@wanadoo.fr,http://www.entente-combattants-herault.com,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,AOR,3  BOULEVARD HENRI IV,07,26,2,10,34000,"3,873547619","43,61467874"
Association des Officiers de Réserve de Montpellier,,04 67 16 50 04,cathala.r@wanadoo.fr,http://www.entente-combattants-herault.com,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,AOR,3  BOULEVARD HENRI IV,07,26,2,10,34000,"3,873497298","43,614584301"
Association des Palestiniens en Languedoc-Roussillon,04 67 50 61 39,,FABUSHARKH@HOTMAIL.FR,,INTERNATIONAL,CULTURE ETRANGERE,APLR,8  PLACE DU NOMBRE D'OR,07,28,3,03,34000,"3,887322892","43,607810753"
Association des Paralysés de France,04 67 10 03 25,,dd.34@apf.asso.fr,http://www.apf.asso.fr,SOCIAL ET CITOYENNETE,HANDICAP,APF,1620  RUE SAINT-PRIEST,01,02,2,10,34090,"3,833268024","43,637839837"
Association des parents Indépendants de Joffre,,,apij_college_joffre@orange.fr,,EDUCATION,PARENTS D'ELEVES,APIJ,1500  RUE PROF JOSEPH ANGLADA,01,02,2,02,34090,"3,854552933","43,63225455"
Association des Professionnels de l'Animation,,,asso-apra@gmail.com,http://www.apra.free.fr,ENTREPRISE ET TRAVAIL,FORMATION PROF. ET CONTINUE,APRA,139  RUE DE BARI,,,,,,,
Association des Propriétaires du Quartier de la Baume,04 67 65 62 52,,,,ENVIRONNEMENT ET CADRE DE VIE,HABITAT ET LOGEMENT,,200  IMPASSE DE LA BAUME,06,22,1,04,34000,"3,904243433","43,604047382"
Association des Psychologues du Languedoc,04 67 14 58 29,,,,SCIENCES,SCIENCE DE L'HOMME,APLR,0  ROUTE DE MENDE,,,,,,,
Association des Pupilles de l'Enseignement Public Hérault,04 67 40 73 00,04 67 41 27 83,,,EDUCATION,ENSEIGNEMENT,ADPEP 34,21  RUE JEAN GIROUX,02,04,2,09,34080,"3,827072204","43,637855856"
"Association des Quartiers des Marels II, Pergola, Aiguelongue",,,,,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,AQG,1071  AV JUSTICE DE CASTELNAU,01,03,3,03,34090,"3,882651446","43,626155623"
Association des Résidents d'Antigone - ADRA,04 67 64 86 15,,asso-residents-d-antigone@orange.fr,,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,ADRA,19  PLACE DU NOMBRE D'OR,07,28,3,03,34000,"3,887869475","43,608681309"
Association des Responsables de Copropriété en LR,04 67 77 54 35,,contact@arclanguedoc.fr,www.arclanguedoc.fr,ENVIRONNEMENT ET CADRE DE VIE,HABITAT ET LOGEMENT,ARC LR,33  ALLEE DE L'ATTIQUE,07,28,3,03,34000,"3,889976973","43,607413148"
Association des Sous-Officiers de Réserve de l'Armée de l'Air,04 67 69 17 45,,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,ANSORAA,0  AVENUE ETIENNE MEHUL,,,,,,,
Association des Travailleurs Maghrébins de France,04 67 10 09 83,,atmf34@hotmail.f,www.atmf.org,SOCIAL ET CITOYENNETE,DIVERS SOCIAL,ATMF,13  RUE DE LA FIGAIRASSE,03,10,4,08,34070,"3,848936082","43,607904894"
Association des Unions Régionales des Arts de la Langue-AURAL,04 67 40 30 55,,conte.aural@free.fr,http://www.aural.free.fr,CULTURE,LITTERATURE ET POESIE,AURAL,105  RUE GUSTAVE EIFFEL,03,09,2,10,34070,"3,835626522","43,608990273"
Association des Voyageurs en Asie du Sud-Est,04 67 79 18 15,04 67 79 18 15,thanh_tram.nguyen@libertysurf.fr,,INTERNATIONAL,CULTURE ETRANGERE,AVASE,5  RUE DES HERMINES,01,03,3,03,34090,"3,881706966","43,628611229"
Association des Z' Aides,,,asso.dz@laposte.net,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,D Z,834  AVENUE DU MAS ARGELLIERS,05,17,1,05,34070,"3,887786292","43,58423477"
Association Divers Cites,,,association.divers.cites@gmail.com,,CULTURE,MUSIQUE,,82  RUE DE LA FORET NOIRE,02,05,2,09,34080,"3,813947356","43,626344993"
Association du Mémorial Héraultais AFN 1952-1962,04 67 64 13 78,,bousquetjacques1760@neuf.fr,http://www.memorial-afn-herault.fr,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,AMHA,12  RUE MAURY,05,15,1,05,34000,"3,878216917","43,599741279"
Association du Nouveau Sainte-Anne,04 67 66 34 43,,sadik.farabi@voila.fr,,VIE DES QUARTIERS,ASSO ET COMITES DE QUARTIER,,1  RUE SAINTE ANNE,07,26,1,01,34000,"3,874441871","43,610030691"
Association du Quartier Hôtel du Département,04 67 41 36 71,,,,ENVIRONNEMENT ET CADRE DE VIE,ARCHITECTURE ET URBANISME,,8  RUE DES AVANT-MONTS,03,07,2,07,34080,"3,844101831","43,62214889"
Association d'Un Regard l'Autre,04 99 23 17 74,,dunregard.lautre@free.fr,,CULTURE,DIVERS CULTURE,,271  AVENUE DU PIC SAINT LOUP,01,01,2,02,34090,"3,859895405","43,641616551"
Association Education Populaire Saint Paul La Paillade,04 67 75 34 30,,,,EDUCATION,DIVERS EDUCATION,A.E.P.ST P,465  RUE DE BOLOGNE,02,04,2,09,34080,"3,819520475","43,630648641"
Association Energétique Chinoise,04 67 84 42 68,,,,SANTE,THERAPIES,AEC,165  IMPASSE DU MUSCADET,01,02,2,10,34090,"3,848482849","43,629110263"
Association Envie,04 67 04 20 23,04 67 04 86 84,associationenvie@wanadoo.fr,htpp://www.associationenvie.com,SANTE,AIDE AUX MALADES,ENVIE,504  BOULEVARD PEDRO DE LUNA,04,12,1,06,34070,"3,873280886","43,59339177"
Association Familiale Catholique de Montpellier,04 67 63 34 12,04 67 63 34 12,,,SOCIAL ET CITOYENNETE,VIE FAMILIALE,AFC,1022  RUE DE LAS SORBES,03,08,2,07,34070,"3,85195008","43,614566611"
Association Féminin Plurielle,04 67 92 74 75,,,,SOCIAL ET CITOYENNETE,CONDITION FEMININE MASCULINE,,10  RUE HENRI GUINIER,07,31,1,01,34000,"3,876560155","43,604988561"
Association Femmes et Actions en Méditerranée,,,fberberes.montpellier@wanadoo.fr,: http://klubasso.fr/associationfrancoberberedemon,INTERNATIONAL,CULTURE ETRANGERE,AFAM,12  RUE D'ORAN,,,,,,,
Association Foot-Fauteuils - Les Fauteuils de Feu,,,fauteuils2feu@aol.com,,SPORTS,SPORTS ADAPTES,,54  RUE GABRIEL LUSCAN,01,02,2,02,34090,"3,867932401","43,638302864"
Association Force Ouvriere Consommateurs - AFOC,04 99 13 63 76,,CHARLESPENA@ORANGE.FR,,ENVIRONNEMENT ET CADRE DE VIE,CONSOMMATEURS,AFOC,474  ALL HENRI II MONTMORENCY,07,28,3,03,34000,"3,888759237","43,610157859"
Association Formation Sauvetage Aquatique,,,,,SPORTS,NATATION ET PLONGEE,AFSA,200  AVENUE DU PERE SOULAS,07,23,2,10,34090,"3,865483532","43,618226162"
Association Forme Sports et Loisirs,04 99 63 01 48,,assl.leonepatrick@sfr.fr,http://www.cameleon-afsl.com,SPORTS,ARTS MARTIAUX,AFSL,28  RUE CHAPTAL,07,30,1,01,34000,"3,868377415","43,604065826"
Association Française des Amis du Chemin de Fer LR,,,afac-lr@orange.fr,,LOISIRS,MODELISME,AFAC,6  RUE HECTOR BERLIOZ,03,07,2,10,34080,"3,835577511","43,611080707"
Association Française des Femmes Diplômées des Universités,,,parini@club-internet,,SOCIAL ET CITOYENNETE,CONDITION FEMININE MASCULINE,AFFDU,11  RUE DES VERVEINES,07,23,2,10,34000,"3,864109802","43,617891698"
Association Française des Hémophiles Comité Languedoc-Roussillon,08 71 51 80 85,,afhlr@wanadoo.fr,http//:www.afh.asso.fr,SANTE,AIDE AUX MALADES,AFH LR,557  RUE DU PIOCH DE BOUTONNET,07,23,3,03,34090,"3,877190083","43,62577963"
ASSOCIATION FRANCAISE DES SCLEROSES EN PLAQUES,04 67 27 26 04,,genet.marieyvonne@wanadoo.fr,,SANTE,AIDE AUX MALADES,AFSEP,10  RUE VIVALDI,04,11,4,08,34070,"3,854813803","43,596876278"
Association Française des Solos,,,contact@asso-des-solos.fr,http://www.asso-des-solos.fr,LOISIRS,DIVERS LOISIRS,,383  RUE DENIS PAPIN,,,,,,,
Association Française pour l'Enfance Abandonnée,04 67 27 25 73,,jean.savajol@cegetel.net,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,AFEA,14  RUE MARCEL RAJMAN,03,09,4,08,34070,"3,83930317","43,598509335"
Association France Palestine Solidarité,04 67 02 13 42,,afps34@orange.fr,http://www.france-palestine.org,INTERNATIONAL,SOLIDARITE INTERNATIONALE,AFPS,27  BOULEVARD LOUIS BLANC,07,24,3,03,34000,"3,880265529","43,614485642"
Association France-Ecosse,04 67 79 01 58,,viv.rossi@wanadoo.fr,,INTERNATIONAL,CULTURE ETRANGERE,,134  RUE DU CURAT,07,24,3,03,34090,"3,878690903","43,624963448"
Association François Aupetit,04 66 49 28 67,,languedoc@afa.asso.fr,http://www.afa.asso.fr,SANTE,AIDE AUX MALADES,AFA,603  AVENUE DU PONT TRINQUAT,05,16,1,05,34070,"3,891046662","43,598234944"
Association Franco-Rwandaise pour les Réfugiés,04 67 22 17 91,,,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,,215  AVENUE DU PETIT TRAIN,06,22,1,04,34070,"3,893338233","43,600442692"
Association Gem Lesseps,04.67.69.27.14,,YVESLEBARS@GMAIL.COM,gemlesseps.free.fr,SOCIAL ET CITOYENNETE,INSERTION,GEM LESSEP,356  RUE FERDINAND DE LESSEPS,05,17,1,05,34070,"3,878391694","43,593092514"
Association Générale des Intervenants Retraités - AGIR,04 67 04 55 41,,agir.abcd.lr@wanadoo.fr,,SOCIAL ET CITOYENNETE,TROISIEME AGE,AGIRABCD,348  RUE DE PUECH VILLA,01,02,2,10,34090,"3,833738172","43,641677527"
Association Générale des Sourds de Montpellier,0,0,secretaire.ca@qmail.com,www.agsmr.fr,SOCIAL ET CITOYENNETE,HANDICAP,AGSMR,13  IMPASSE DES OLIVIERS,,,,,,,
Association Gestion de la Crèche Costebelle,04 67 65 33 32,,,,SOCIAL ET CITOYENNETE,ENFANCE ET JEUNESSE,,160  RUE DES FRERES LUMIERE,06,20,1,04,34000,"3,905766753","43,610792513"
Association Gipsy Production 34,04 67 47 26 10,,gipsy.productions34@free.fr,http://gipsy.productions34.free.fr,CULTURE,DIVERS CULTURE,AGP34,1  PLACE DES SONNETS,07,29,4,08,34070,"3,858967597","43,606006104"
Association Grèges,04 67 06 96 91,,greges@greges.net,http://www.greges.net,CULTURE,LITTERATURE ET POESIE,,14  RUE EMILE ZOLA,07,26,2,10,34000,"3,867918825","43,609166185"
Association Himalaya pour Tous,04 67 10 09 94,,jeanmichel.carles@yahoo.fr,http://himalayapourtous.com,LOISIRS,RANDONNEES,,205  AVENUE DE FES,01,02,2,10,34080,"3,830543052","43,635094707"
Association Intermédiaire Ouverture,04 99 74 23 60,04 99 74 23 67,ouverture.entourage@gammes.org,,SOCIAL ET CITOYENNETE,AIDE A DOMICILE,GAMMES,3 BIS RUE SAINT BARTHELEMY,07,30,1,01,34000,"3,87380034","43,605221347"
Association IO - Cie Sylvie Deluz,04 67 58 59 05,,associationio@aol.com,http://www.studio-iseion.fr,CULTURE,DANSE,IO,18  RUE FOUQUES,07,30,1,01,34000,"3,868237943","43,602616092"
Association Ishara,,,contact.ishara@orange.fr,,SPORTS,DANSE,,14  RUE ALPHONSE TAVAN,03,07,2,10,34090,"3,846802599","43,625202929"
Association Ivoirienne de Montpellier,04 67 65 45 84,,aidmsurlez@yahoo.fr,ivoirsurlez.blogspot.com,INTERNATIONAL,CULTURE ETRANGERE,AIDM,145  RUE GUILLAUME JANVIER,04,14,1,06,34070,"3,865847744","43,595959929"
Association Japonaise Toranomaki Montpellier,04 67 57 69 75,,contact@toranomaki.fr,http://www.toranomaki.fr,INTERNATIONAL,CULTURE ETRANGERE,,1  PLACE DE LA PETITE FRANCE,07,31,1,04,34070,"3,886177134","43,604257147"
Association Jeunes Phobos et Paillade Nord,04 67 75 19 22,04 67 75 19 22,association.ajppn@orange.fr,,VIE DES QUARTIERS,DIVERS QUARTIERS,AJPPN,400  RUE PIERRE CARDENAL,02,04,2,09,34080,"3,819480086","43,640459593"
Association Juive du Temps Libre,0675512795,,ajtlcomptr@yahoo.fr,,LOISIRS,VACANCES,AJTL,45  RUE PROUDHON,,,,,,,
Association Kaliyana Danse Orientale,,,naila@naila-danse.com,www.kaliyana-danse.com,SPORTS,DANSE,,11  AVENUE LEPIC,04,11,2,07,34070,"3,865389358","43,601076371"
Association Kaliyana Danse Orientale,,,naila@naila-danse.com,www.kaliyana-danse.com,SPORTS,DANSE,,11  AVENUE LEPIC,04,11,2,07,34070,"3,865685949","43,601047505"
Association Kaliyana Danse Orientale,,,naila@naila-danse.com,www.kaliyana-danse.com,SPORTS,DANSE,,11  AVENUE LEPIC,04,11,2,07,34070,"3,865847599","43,601032163"
Association Kefadiam,04 67 83 82 14,,info@kefadia.com,http://www.kefadian.com,SPORTS,DANSE,,135  RUE ANTOINE VALLOT,05,17,1,05,34070,"3,881541286","43,590897449"
Association Kilo Plume,04 67 79 38 27,,,,SANTE,AIDE AUX MALADES,AKP,56  BOULEVARD ERNEST RENAN,07,18,1,04,34000,"3,891550636","43,617176953"
Association La Garrigue,04 67 58 49 29,,,,SOCIAL ET CITOYENNETE,HANDICAP,,356  RUE FERDINAND DE LESSEPS,05,17,1,05,34070,"3,878391694","43,593092514"
Association La Gerbe,04 99 74 24 30,04 99 74 24 31,lagerbe@numericable.fr,http://www.lagerbe.com,EDUCATION,MOUVEMENT JEUNESSE,,19  RUE CHAPTAL,07,30,1,01,34000,"3,870320108","43,605127116"
Association Languedocienne d'Aide aux Insuffisants Mentaux,04 67 41 01 38,,alpaim-siege@wanadoo.fr,,SOCIAL ET CITOYENNETE,HANDICAP,ALPAIM,1804  AVENUE DU PERE SOULAS,01,02,2,10,34090,"3,849709994","43,625814415"
Association Languedocienne de Kyudo,06 80 33 83 42,,kyudo.alk@me.com,www.kyudo-montpellier.fr,SPORTS,ARTS MARTIAUX,ALK,814  RUE DES QUATRE SEIGNEURS,01,01,2,02,34090,"3,858388392","43,646972282"
Association Languedocienne Familiale et Sociale,04 67 10 42 00,04 67 10 42 01,lpp.turgot@free.fr,http://www.lppturgot.com,EDUCATION,ENSEIGNEMENT,EPCS,94  RUE PIERRE FLOURENS,01,02,2,10,34090,"3,832477065","43,637770342"
Association Languedocienne pour la Jeunesse,04 99 61 11 26,,fabulos-drolles@wanadoo.fr,http://www.alpj.org,SOCIAL ET CITOYENNETE,VIE FAMILIALE,,147  RUE DES QUATRE SEIGNEURS,01,01,2,02,34090,"3,856877991","43,641990721"
Association Languedocienne Rando-Loisirs,,,info@randoloisirs.com,http://www.randoloisirs.com,LOISIRS,RANDONNEES,,19  RUE DE BARCELONE,07,31,1,04,34070,"3,884226284","43,604642635"
